TSTimePointResult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Bus 1 V angle,Bus 2 V angle,Bus 3 V angle,Bus 4 V angle,Bus 5 V angle,Bus 6 V angle,Bus 7 V angle,Bus 8 V angle,Bus 9 V angle,Bus 10 V angle,Bus 11 V angle,Bus 12 V angle,Bus 13 V angle,Bus 14 V angle,Bus 15 V angle,Bus 16 V angle,Bus 17 V angle,Bus 18 V angle,Bus 19 V angle,Bus 20 V angle,Bus 21 V angle,Bus 22 V angle,Bus 23 V angle,Bus 24 V angle,Bus 25 V angle,Bus 26 V angle,Bus 27 V angle,Bus 28 V angle,Bus 29 V angle,Bus 30 V angle,Bus 31 V angle,Bus 32 V angle,Bus 33 V angle,Bus 34 V angle,Bus 35 V angle,Bus 36 V angle,Bus 37 V angle,Bus 38 V angle,Bus 39 V angle,Bus 40 V angle,Bus 41 V angle,Bus 42 V angle,Bus 43 V angle,Bus 44 V angle,Bus 45 V angle,Bus 46 V angle,Bus 47 V angle,Bus 48 V angle,Bus 49 V angle,Bus 50 V angle,Bus 51 V angle,Bus 52 V angle,Bus 53 V angle,Bus 54 V angle,Bus 55 V angle,Bus 56 V angle,Bus 57 V angle,Bus 58 V angle,Bus 59 V angle,Bus 60 V angle,Bus 61 V angle,Bus 62 V angle,Bus 63 V angle,Bus 64 V angle,Bus 65 V angle,Bus 66 V angle,Bus 67 V angle,Bus 68 V angle,Bus 69 V angle,Bus 70 V angle,Bus 71 V angle,Bus 72 V angle,Bus 73 V angle,Bus 74 V angle,Bus 75 V angle,Bus 76 V angle,Bus 77 V angle,Bus 78 V angle,Bus 79 V angle,Bus 80 V angle,Bus 81 V angle,Bus 82 V angle,Bus 83 V angle,Bus 84 V angle,Bus 85 V angle,Bus 86 V angle,Bus 87 V angle,Bus 88 V angle,Bus 89 V angle,Bus 90 V angle,Bus 91 V angle,Bus 92 V angle,Bus 93 V angle,Bus 94 V angle,Bus 95 V angle,Bus 96 V angle,Bus 97 V angle,Bus 98 V angle,Bus 99 V angle,Bus 100 V angle,Bus 101 V angle,Bus 102 V angle,Bus 103 V angle,Bus 104 V angle,Bus 105 V angle,Bus 106 V angle,Bus 107 V angle,Bus 108 V angle,Bus 109 V angle,Bus 110 V angle,Bus 111 V angle,Bus 112 V angle,Bus 113 V angle,Bus 114 V angle,Bus 115 V angle,Bus 116 V angle,Bus 117 V angle,Bus 118 V angle,Bus 119 V angle,Bus 120 V angle,Bus 121 V angle,Bus 122 V angle,Bus 123 V angle,Bus 124 V angle,Bus 125 V angle,Bus 126 V angle,Bus 127 V angle,Bus 128 V angle,Bus 129 V angle,Bus 130 V angle,Bus 131 V angle,Bus 132 V angle,Bus 133 V angle,Bus 134 V angle,Bus 135 V angle,Bus 136 V angle,Bus 137 V angle,Bus 138 V angle,Bus 139 V angle,Bus 140 V angle,Bus 141 V angle,Bus 142 V angle,Bus 143 V angle,Bus 144 V angle,Bus 145 V angle,Bus 146 V angle,Bus 147 V angle,Bus 148 V angle,Bus 149 V angle,Bus 150 V angle
0.466667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.5,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.533333,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.566667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.6,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.633333,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.666667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.7,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.733333,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.766667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.8,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.833333,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.866667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.9,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
